ID,Вопрос,Ответ системы,Источник,Уверенность,Время запроса,Время оценки
160,"Какие варианты причин, по которой слушатель будет отчислен, предлагает КИАС «Универис»?","СУД АРСТВЕННЫЙ 
УНИВЕРСИТЕТ  
средств бюджетных ассигнований, и форме обучения на соответствующем курсе два 
раза в год (по окончании семестра).",Polozhenie_2024.pdf,0.35929208993911743,2026-05-24 17:36:49,2026-05-24 17:36:52
159,"Какие 3 варианта возможного отчисления предлагает КИАС ""Универис""?","Точный ответ не найден. Возможно, вас интересует: в конвейера и пунктом управления конвейерной линией....",Trebovaniya ohrani truda 15.docx,0.0,2026-05-24 17:33:00,2026-05-24 17:33:02
158,Какая вкладка нужна для формирования приказа об отчислении?,Представление оригинала или копии (электронного образа) такого документа при подаче заявления о приеме не требуется.,Pravila priema VO.txt,0.7998661994934082,2026-05-24 17:30:42,2026-05-24 17:30:52
156,До каких пор сохраняется возможность внесения изменений в приказ о зачислении?,"не позднее 10 календарных 
дней с дат ы принятия Комиссией решения о таком переходе.",Polozhenie_2024.pdf,0.8361569046974182,2026-05-24 16:54:00,2026-05-24 16:54:03
155,"Какую форму финансирования выбирать из выпадающего списка в случае внутреннего, корпоративного обучения, когда слушатели сотрудники и студенты ЮУрГУ?","организация проводит однопрофильные конкурсы (конкурс) по специальностям или направлениям подготовки, входящим в укрупненную группу.",Pravila priema VO.txt,0.8060979247093201,2026-05-24 16:50:38,2026-05-24 16:50:48
154,Какой первый шаг для формирования приказа о зачислении в КИАС «Универис»?,104.,Trebovaniya ohrani truda 11.docx,0.3047695755958557,2026-05-24 16:09:18,2026-05-24 16:09:20
153,Сколько человек не должно превышать число поступающих с ограниченными возможностями здоровья в одной аудитории?,.,Meri pojarnoi bezopasnosti.pdf,0.24168267846107483,2026-05-24 15:51:51,2026-05-24 15:51:54
152,В какой период проводятся вступительные испытания в аспирантуру?,46.,Pravila priema v aspitanturu.txt,0.7419376969337463,2026-05-24 15:30:12,2026-05-24 15:30:14
151,Когда завершается прием заявлений на очную форму обучения в рамках контрольных цифр приема?,"Университет присваивает заказчикам, представившим предложения (в случае неразмещения предложений на цифровой платформе «Работа в России»), уникальные идентификационные номера. 87.",Pravila priema v aspitanturu.txt,0.5414900779724121,2026-05-24 15:29:19,2026-05-24 15:29:22
150,"Если поступающий, подавший согласие на зачисление, хочет подать согласие на зачисление в другую организацию, что он должен сделать?",Университет до дня начала приема заявлений о приеме с указанием страхового номера индивидуального лицевого счета за подписью уполномоченного должностного лица на бумажном носителе или в электронном виде.,Pravila priema v aspitanturu.txt,0.5376760959625244,2026-05-24 15:26:55,2026-05-24 15:26:59
